codigo_negocio,nombre_patrimonio,codigo_entidad,nombre_subtipo_patrimonio,fmin,fmax,n,anio
9792,FONDO DE INVERSION COLECTIVA DAVIPLUS RENTA FIJA PESOS,42,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
58695,FONDO DE INVERSION COLECTIVA ACCIVAL VISTA,3,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
67539,FONDO DE CAPITAL PRIVADO PACTIA INMOBILIARIO,31,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
67470,FONDO DE INVERSION COLECTIVA INMOBILIARIA VALORALTA INMOBILIARIO,10,FIC INMOBILIARIAS,2019-01-01T00:00:00.000,2019-03-08T00:00:00.000,67,2019
60619,OLD MUTUAL FONDO DE INVERSIÓN COLECTIVA LIQUIDEZ,93,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-08-13T00:00:00.000,225,2019
89435,FONDO DE CAPITAL PRIVADO INMOBILIARIO YELLOWSTONE REAL ESTATE OPPORTUNITY FUND II,16,FONDOS DE CAPITAL PRIVADO,2019-12-02T00:00:00.000,2019-12-31T00:00:00.000,270,2019
43502,FONDO BURSÁTIL GLOBAL X COLOMBIA SELECT DE S&P,22,FIC BURSATILES,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59422,FONVAL DERECHOS ECONOMICOS 2020 EN LIQUIDACIÓN,28,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
72904,FONDO DE CAPITAL PRIVADO PALADIN REALTY COLOMBIA COMPARTIMENTO A,26,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
81087,FCP NEXUS COMP INMUEBLES BANCO POPULAR,21,FONDOS DE CAPITAL PRIVADO,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59356,FONDO DE INVERSION COLECTIVA CERRADO GLOBAL SECURITIES CREDIT OPPORTUNITIES FUND TITULOS VALORES,68,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
59505,CARTERA COLECTIVA ESCALONADA INTERBOLSA FACTORING,68,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
58437,"FONDO DE INVERSION COLECTIVA ""SERFINCO AIC ECOPETROL""",62,FIC DE TIPO GENERAL,2019-01-01T00:00:00.000,2019-12-31T00:00:00.000,365,2019
