codigo_negocio,entidad,nombre,subtipo,aum,inversionistas,n_clases,rent_anual_med,clase_principal,valor_unidad_operaciones,cat_nombre,aum_bn_cop
11149,Fiducoldex,FONDO DE INVERSIÓN COLECTIVA FIDUCOLDEX,FIC DE TIPO GENERAL,2203051808950.1,589,11,8.511193,703,28645.994016,SIN_CLASIFICAR,2203.1
3895,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTA SIN PACTO DE PERMANENCIA FIDUEXCEDENTES,FIC DE TIPO GENERAL,2201523452918.87,9290,1,8.812605,800,25540.43388,RF_CORTO,2201.5
51953,Skandia Fiduciaria S.A.,FONDO DE INVERSIÓN COLECTIVA SKANDIA EFECTIVO,FIC DE TIPO GENERAL,1620669554046.9893,10797,8,9.5087115,401,4625.912029,RF_CORTO,1620.7
119133,Itaú Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO ITAU MONEY MARKET,FIC DE TIPO GENERAL,1586109962313.48,15280,6,9.027555,508,3861.522878,SIN_CLASIFICAR,1586.1
13174,Fiduaval,F.I.C. A. MERCADO MONETARIO CONFIANZA PLUS,FIC DE MERCADO MONETARIO,1575229425029.17,201,6,8.329070999999999,575,12007.514923,RF_CORTO,1575.2
69537,Fiduagraria S.A.,FONDO DE INVERSION COLECTIVA ABIERTO FIC 600,FIC DE TIPO GENERAL,1567830284077.1301,1087,13,8.427903,712,20320.729198,SIN_CLASIFICAR,1567.8
103927,Fiduaval,F.I.C. A. LIQUIDEZ 1525 PLUS,FIC DE MERCADO MONETARIO,1528176676425.4702,155,3,9.113808,570,12057.237383,RF_CORTO,1528.2
8742,Bbva Asset Management S.A. Sociedad Fiduciaria,FIC ABIERTO BBVA FAM CON PARTICIPACIONES DIFERENCIALES,FIC DE TIPO GENERAL,1489372670360.24,34184,7,8.695823,501,3860.319309,SIN_CLASIFICAR,1489.4
128989,Fiduaval,FONDO DE INVERSIÓN COLECTIVA ABIERTO FIDULIQUIDEZ,FIC DE TIPO GENERAL,1444781921797.83,1271,6,8.5182745,526,15107.28572,RF_CORTO,1444.8
87342,Bbva Asset Management S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO BBVA DIGITAL CON PARTICIPACIONES DIFERENCIALES,FIC DE TIPO GENERAL,1403948547017.97,49466,2,9.545084500000002,501,17162.403365,RF_CORTO,1403.9
29133,Credicorp Capital Fiduciaria S.A.,FONDO DE INVERSIÓN COLECTIVA ABIERTO FIDUCREDICORP VISTA,FIC DE TIPO GENERAL,1360256541371.39,13551,12,8.3788215,507,20782.591287,RF_CORTO,1360.3
11427,Fiduciaria La Previsora S.A.  Sigla Fiduprevisora S.A.,CARTERA COLECTIVA ABIERTA EFECTIVO A LA VISTA,FIC DE TIPO GENERAL,1341855928675.4822,988,6,8.541501,506,3947.660421,RF_CORTO,1341.9
128628,Fiduagraria S.A.,FONDO DE INVERSIÓN COLECTIVA SINERGIA,FIC DE TIPO GENERAL,1322592879602.67,6,3,0.0,782,10648.547595,SIN_CLASIFICAR,1322.6
17653,Fiduciaria Davibank,FONDO DE INVERSION COLECTIVA ABIERTO 1525,FIC DE MERCADO MONETARIO,1307018808595.78,664,1,8.610379,801,23902.240881,RF_CORTO,1307.0
93197,Credicorp Capital,CREDICORP CAPITAL VISTA,FIC DE TIPO GENERAL,1231885584354.79,7830,6,8.6260625,514,10708.724692,RF_CORTO,1231.9
66082,Corredores Davivienda S.A.Comisionista De Bolsa,FONDO DE INVERSIÓN COLECTIVA INMOBILIARIO DE RENTA DAVIVIENDA CORREDORES,FIC INMOBILIARIAS,1174834513589.8,4132,1,6.116818,800,15269.508838,SIN_CLASIFICAR,1174.8
2971,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA FIDURENTA,FIC DE TIPO GENERAL,1115036028158.421,32544,5,9.320201,501,55724.294836,RF_LARGO,1115.0
32814,"Fiduciaria Davivienda S.A. Pudiendo Utilizar La Sigla ""Fidudavivienda S.A.""",FONDO DE INVERSION COLECTIVA CCA RENTALIQUIDA FIDUCAFE,FIC DE TIPO GENERAL,1034124663460.07,592,5,8.236431,501,23082.00431,SIN_CLASIFICAR,1034.1
10025,"Fiduciaria Davivienda S.A. Pudiendo Utilizar La Sigla ""Fidudavivienda S.A.""",FONDO DE INVERSION COLECTIVA CONSOLIDAR,FIC DE TIPO GENERAL,1033968295453.12,27723,1,8.018192,800,32980.102096,SIN_CLASIFICAR,1034.0
51968,Skandia Fiduciaria S.A.,FONDO DE INVERSIÓN COLECTIVA INMOBILIARIO CERRADO SKANDIA COMPRAR PARA ARRENDAR-I,FIC INMOBILIARIAS,734104991052.1404,1086,2,11.6016255,502,29485.201989,SIN_CLASIFICAR,734.1
3049,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSION COLECTIVA ABIERTO CON PACTO DE PERMANENCIA PLAN SEMILLA,FIC DE TIPO GENERAL,709084951250.7098,365467,1,9.325192,800,36127.586238,RF_LARGO,709.1
58695,Acciones Y Valores S.A.  Comisionistas De Bolsa,FONDO DE INVERSION COLECTIVA ACCIVAL VISTA,FIC DE TIPO GENERAL,671768490203.44,186384,2,8.463097999999999,800,10064.735118,RF_CORTO,671.8
53962,Fiduciaria Sura S.A.,FONDO DE INVERSION COLECTA ABIERTO CON PACTO DE PERMANENCIA SURA MULTIESTRATEGIA CREDITO COLOMBIA,FIC DE TIPO GENERAL,642093278312.21,2295,4,10.4234995,800,34442.21982,MIXTO,642.1
11014,Accion Sociedad Fiduciaria S.A.  Sigla Acción Fiduciaria,FONDO DE INVERSIÓN COLECTIVA ABIERTO SIN PACTO DE PERMANENCIA ACCION UNO,FIC DE TIPO GENERAL,598188043802.96,4556,1,6.867733,505,290520.874834,RV_LOCAL,598.2
10440,Servitrust Gnb Sudameris S.A.,FONDO DE INVERSION ABIERTO CASH,FIC DE TIPO GENERAL,554340532086.35,2591,1,8.424282,800,26829.67698,RF_CORTO,554.3
58134,Servitrust Gnb Sudameris S.A.,FONDO DE INVERSION COLECTIVA FONDO GNB ABIERTO,FIC DE TIPO GENERAL,522993074813.0,1527,9,8.474401,511,89878.887756,SIN_CLASIFICAR,523.0
58883,Credicorp Capital,CREDICORP CAPITAL DEUDA CORPORATIVA,FIC DE TIPO GENERAL,521357788751.32996,3508,3,8.816247,800,49538.387087,RF_LARGO,521.4
98186,Bbva Valores,FIC BBVA VALORES MONEY MARKET,FIC DE MERCADO MONETARIO,505832178632.01,1160,2,9.0237425,502,15848.569206,SIN_CLASIFICAR,505.8
85697,Fiduciaria Bancolombia S.A. Sociedad Fiduciaria,FONDO DE INVERSIÓN COLECTIVA INMOBILIARIO SURA AM RENTAS INMOBILIARIAS,FIC INMOBILIARIAS,478644302119.0499,2498,2,0.8641145,501,14081.946932,SIN_CLASIFICAR,478.6
125474,Fiduciaria Central S.A. Sigla Fiducentral S.A.,FONDO AXIOS,FIC DE TIPO GENERAL,445594749693.74,37,4,0.0,559,10921.788171,SIN_CLASIFICAR,445.6
124209,Fiducoldex,FIDUCOLDEX OBJETIVO FONDO DE INVERSIÓN COLECTIVA,FIC DE TIPO GENERAL,441210306394.16,4,4,8.817993000000001,524,11114.410153,SIN_CLASIFICAR,441.2
11627,Fiduciaria Davibank,FONDO DE INVERSION COLECTIVA ABIERTO RENDIR,FIC DE TIPO GENERAL,433156687494.5,3007,1,8.206126,802,58385.710201,SIN_CLASIFICAR,433.2
